-----------------------------------------
| rollout/                |             |
|    iterations           | 930          |
|    time_elapsed         | 642          |
|    total_timesteps      | 952320       |
| train/                  |              |
|    approx_kl            | 0.0007790564 |
|    clip_fraction        | 0.0209       |
|    clip_range           | 0.1          |
|    entropy_loss         | -0.0741      |
|    explained_variance   | 0.446        |
|    learning_rate        | 5e-05        |
|    loss                 | 7.87         |
|    n_updates            | 37160        |
|    policy_gradient_loss | -0.00216     |
|    value_loss           | 24.9         |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 7.21          |
|    ep_rew_mean          | -7.5          |
| time/                   |               |
|    fps                  | 1482          |
|    iterations           | 940           |
|    time_elapsed         | 649           |
|    total_timesteps      | 962560        |
| train/                  |               |
|    approx_kl            | 0.00043824606 |
|    clip_fraction        | 0.0244        |
|    clip_range           | 0.1           |
|    entropy_loss         | -0.0876       |
|    explained_variance   | 0.471         |
|    learning_rate        | 5e-05         |
|    loss                 | 5.42          |
|    n_updates            | 37560         |
|    policy_gradient_loss | -0.00208      |
|    value_loss           | 21.9          |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7.25         |
|    ep_rew_mean          | -6.89        |
| time/                   |              |
|    fps                  | 1482         |
|    iterations           | 950          |
|    time_elapsed         | 656          |
|    total_timesteps      | 972800       |
| train/                  |              |
|    approx_kl            | 0.0010267755 |
|    clip_fraction        | 0.041        |
|    clip_range           | 0.1          |
|    entropy_loss         | -0.085       |
|    explained_variance   | 0.397        |
|    learning_rate        | 5e-05        |
|    loss                 | 8.16         |
|    n_updates            | 37960        |
|    policy_gradient_loss | -0.00338     |
|    value_loss           | 27.4         |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 6.97          |
|    ep_rew_mean          | -7.38         |
| time/                   |               |
|    fps                  | 1482          |
|    iterations           | 960           |
|    time_elapsed         | 663           |
|    total_timesteps      | 983040        |
| train/                  |               |
|    approx_kl            | 0.00036882015 |
|    clip_fraction        | 0.0173        |
|    clip_range           | 0.1           |
|    entropy_loss         | -0.0832       |
|    explained_variance   | 0.459         |
|    learning_rate        | 5e-05         |
|    loss                 | 6.3           |
|    n_updates            | 38360         |
|    policy_gradient_loss | -0.00131      |
|    value_loss           | 23.2          |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 6.79         |
|    ep_rew_mean          | -7.88        |
| time/                   |              |
|    fps                  | 1482         |
|    iterations           | 970          |
|    time_elapsed         | 669          |
|    total_timesteps      | 993280       |
| train/                  |              |
|    approx_kl            | 0.0015870822 |
|    clip_fraction        | 0.027        |
|    clip_range           | 0.1          |
|    entropy_loss         | -0.0864      |
|    explained_variance   | 0.484        |
|    learning_rate        | 5e-05        |
|    loss                 | 4.65         |
|    n_updates            | 38760        |
|    policy_gradient_loss | -0.0025      |
|    value_loss           | 17.6         |
------------------------------------------
 100% -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- 1,000,448/1,000,000  [ 0:11:14 < 0:00:00 , 1,519 it/s ]
